iter	Passed	Remaining
1456	20403	602
1457	20419	588
1458	20435	574
1459	20450	560
1460	20461	546
1461	20471	532
1462	20498	518
1463	20508	504
1464	20530	490
1465	20562	476
1466	20572	462
1467	20594	448
1468	20604	434
1469	20614	420
1470	20640	406
1471	20651	392
1472	20661	378
1473	20688	364
1474	20699	350
1475	20720	336
1476	20730	322
1477	20752	308
1478	20762	294
1479	20784	280
1480	20794	266
1481	20815	252
1482	20831	238
1483	20842	224
1484	20852	210
1485	20879	196
1486	20889	182
1487	20900	168
1488	20910	154
1489	20921	140
1490	20931	126
1491	20958	112
1492	20968	98
1493	20979	84
1494	21005	70
1495	21016	56
1496	21026	42
1497	21037	28
1498	21047	14
1499	21068	0
